date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:43	168/168	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2020%20Apr%202025%2013:01:44%20GMT	https://cash.app/robots.txt		(from )
15:01:43	114461/114461	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2020%20Apr%202025%2013:01:44%20GMT	https://cash.app/	C:/Users/A/Desktop/cash.app/cash.app/index.html	(from )
15:01:44	32840/32840	---M--	200	added ('OK')	font/woff2	etag:%22dd697c0f44e9f420c59a9e2f3fee7bac%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSansWide-Semibold.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSansWide-Semibold.woff2	(from https://cash.app/)
15:01:44	32512/32512	---M--	200	added ('OK')	font/woff2	etag:%223365cfb974de5168512fea2f47a1841d%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Regular.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Regular.woff2	(from https://cash.app/)
15:01:44	31228/31228	---M--	200	added ('OK')	font/woff2	etag:%226340fc6a45c4f217db86a8942d3898e2%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Medium.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Medium.woff2	(from https://cash.app/)
15:01:44	33068/33068	---M--	200	added ('OK')	font/woff2	etag:%22e887c03d5aeb4e9b1e668e6e62d472b5%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Semibold.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Semibold.woff2	(from https://cash.app/)
15:01:45	33240/33240	---M--	200	added ('OK')	font/woff2	etag:%2278961ec9641d34e145d6a494437219b8%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Bold.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Bold.woff2	(from https://cash.app/)
15:01:45	33292/33292	---M--	200	added ('OK')	font/woff2	etag:%22c6dcf2f6cd2cf45aa00b6ed287684db0%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Black.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSans-Black.woff2	(from https://cash.app/)
15:01:45	32972/32972	---M--	200	added ('OK')	font/woff2	etag:%220937e61ce4aab3b4abd5faf423459c34%22	https://cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSansWide-Black.woff2	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/fonts/cashsans/woff2/CashSansWide-Black.woff2	(from https://cash.app/)
15:01:45	257/257	---M--	200	added ('OK')	binary/octet-stream	etag:%22943eb7017c717b4e93ab68d43d777f14%22	https://cash-f.squarecdn.com/static/manifest.webmanifest	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/manifest.webmanifest	(from https://cash.app/)
