date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:27	168/168	---MCZ	200	added ('OK')	text/plain	date:Sun,%2020%20Apr%202025%2012:59:28%20GMT	https://cash.app/robots.txt		(from )
14:59:28	114461/114461	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Apr%202025%2012:59:28%20GMT	https://cash.app/	C:/Users/A/Desktop/cash.app/cash.app/index.html	(from )
14:59:28	3362/3362	---M--	200	added ('OK')	image/png	etag:%227c8096071722e7fe63f868631975057d%22	https://cash-f.squarecdn.com/static/apple-touch-icon.png	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/static/apple-touch-icon.png	(from https://cash.app/)
14:59:29	108071/108071	---M-Z	200	added ('OK')	text/css	etag:%22a680c337578418f6874e1951df1b6726%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/e25ffac1c4f5d9ef.css	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/e25ffac1c4f5d9ef.css	(from https://cash.app/)
14:59:30	23320/23320	---M-Z	200	added ('OK')	text/css	etag:%229314e128b43b11214fddec5ece007c6c%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/24ea86a0d567bc7b.css	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/24ea86a0d567bc7b.css	(from https://cash.app/)
14:59:30	9744/9744	---M-Z	200	added ('OK')	text/css	etag:%22b039d823e24519cc39026e5fc0772c36%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/81a15c235fb6aefb.css	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/css/81a15c235fb6aefb.css	(from https://cash.app/)
14:59:31	112594/112594	---M-Z	200	added ('OK')	text/javascript	etag:%22846118c33b2c0e922d7b3a7676f81f6f%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://cash.app/)
14:59:31	3912/3912	---M-Z	200	added ('OK')	text/javascript	etag:%220bc3d046f5632d48bd32dfec7e976bf0%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/webpack-7eac7b3784499986.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/webpack-7eac7b3784499986.js	(from https://cash.app/)
14:59:31	208874/208874	---M-Z	200	added ('OK')	text/javascript	etag:%223ce96c431d6e1b30c2a7fa367dab7f67%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/framework-7275483d0887314b.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/framework-7275483d0887314b.js	(from https://cash.app/)
14:59:31	134844/134844	---M-Z	200	added ('OK')	text/javascript	etag:%22c53c01738f35c03907d28dd7564aa211%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/main-081497b2d63455dd.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/main-081497b2d63455dd.js	(from https://cash.app/)
14:59:32	704292/704292	---M-Z	200	added ('OK')	text/javascript	etag:%2298950daf746ff636a27e29a1b5aaf95b%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/_app-264aa015caf20b2c.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/pages/_app-264aa015caf20b2c.js	(from https://cash.app/)
14:59:32	15310/15310	---M-Z	200	added ('OK')	text/javascript	etag:%22a8274d1dc85f186a5e4d9bac7e56529d%22	https://cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/7090-9b7c34a831bc7bd3.js	C:/Users/A/Desktop/cash.app/cash-f.squarecdn.com/web/marketing/78d2b12e5b8e7b77a80b26eb09fa8f4acaf8bc01/_next/static/chunks/7090-9b7c34a831bc7bd3.js	(from https://cash.app/)
